Seven Steps in the Sky,NULL,1,NULL,1994,The novel 'Seven steps in the sky' is the English translation of a Gujarati novel named 'Saat pagla aakashma' written by Kundanika Kapadia. The novel revolves around the life of the protagonist of the novel Vasudha and a few of her friends and relatives. ,NULL,https://www.gujaratibooks.com/seven-steps-in-the-sky.html,NULL,B000COZ0K4,NULL
ન હન્યતે ,Na Hanyate,2,155,1978,NULL,NULL,https://www.dhoomkharidi.com/na-hanyate-maitreyi-gujarati-book,NULL,NULL,NULL
રઘુવંશ ,Raghuvansha,2,156,1978,NULL,NULL,NULL,NULL,NULL,NULL
અરણ્યેર  દીનરાત્રિ ,Aranyer Dinratri,2,157,1983,NULL,NULL,NULL,NULL,NULL,NULL
આજની  સોવિયેત  વાર્તાઓ ,Ajni Soviet Vartao,2,51,1977,Translated Collection of Russian Literature,NULL,NULL,NULL,NULL,NULL
NULL,Hiku Gunah Maaf (One Mischief Pardoned) ,6,158,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ધરતી  ખોલે  પાચચૉ  વળે ,Dharati Khole Pachcho Vale,2,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL
" अप्पा  पंत  - एक  प्रवास,  एक शोध","Appa Pant - Ek Pravas, Ek Shodh",4,159,NULL,NULL,NULL,http://opac.tiss.edu/cgi-bin/koha/opac-detail.pl?biblionumber=192132&shelfbrowse_itemnumber=205547,NULL,NULL,NULL
Rain Through the Night,NULL,1,160,1973,NULL,NULL,NULL,NULL,NULL,NULL
The Sins of Appus Mother,NULL,1,161,1972,NULL,NULL,NULL,NULL,NULL,NULL
The Village has no Walls,NULL,1,162,1959,NULL,NULL,NULL,NULL,NULL,NULL
Samskara,NULL,1,163,1977,NULL,NULL,NULL,NULL,NULL,NULL
The Skeleton,NULL,1,164,1977,NULL,NULL,NULL,NULL,NULL,NULL
Farewell to the Gods,NULL,1,165,1977,NULL,NULL,NULL,NULL,NULL,NULL
The Winds of Fire,NULL,1,165,1977,NULL,NULL,NULL,NULL,NULL,NULL
Crumpled Letter,NULL,1,166,2017,NULL,NULL,NULL,NULL,NULL,NULL
To Hell with You,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
This is not that Dawn,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shulamith,NULL,1,NULL,1975,NULL,NULL,https://www.amazon.com/Shulamith-Indian-novels-Meera-Mahadevan/dp/B0006CNMZC,NULL,NULL,NULL
तरल  अन्तराल ,Taral Anataral,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
A Corpse In The Well: Marathi Dalit Autobiographies,NULL,1,167,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baluta,NULL,1,168,NULL,NULL,NULL,NULL,9789385288203,NULL,NULL
Upara: An Outsider,,1,169,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ઉપર,Upara,2,NULL,NULL,NULL,NULL,https://www.amazon.com/Upara-GUJARATI-Laxman-Mane/dp/B003DRNGEY/ref=sr_1_1?dchild=1&keywords=upara&qid=1618441297&s=books&sr=1-1,,B003DRNGEY,NULL
A Tale with Seven Answers,NULL,1,170,2014,NULL,NULL,https://www.bookganga.com/eBooks/Books/details/4971922492671899216?BookName=A-Tale-With-Seven-Answers,9788123762524,NULL,NULL
बिढार,Bidhar,3,NULL,NULL,NULL,NULL,https://www.amazon.in/Bidhar-Bhalchandra-Nemade/dp/8126702982/ref=sr_1_16?dchild=1&qid=1618457652&refinements=p_27%3ABhalchandra+Nemade&s=books&sr=1-16,NULL,NULL,NULL
Bidhar: On the Move,,1,171,2016,NULL,NULL,https://www.amazon.com/Bidhar-Bhalchandra-Nemade-Santosh-Bhoomkar/dp/8126028459,9788126028450,NULL,NULL
ਆਜ਼ਾਦੀ ,Azadi,8,NULL,1986,NULL,NULL,https://www.amazon.com/Azadi-PUNJABI-Chaman-Nahal/dp/B003FCV7VG,NULL,B003FCV7VG,NULL
The Morning After: A Non-Novel,NULL,1,NULL,1973,NULL,NULL,https://www.abebooks.com/servlet/BookDetailsPL?bi=14356835452&cm_sp=SEARCHREC-_-WIDGET-L-_-BDP-R&searchurl=an%3Dchanakya%2Bsen%26sortby%3D17,NULL,NULL,NULL
It Rained All Night,NULL,1,160,NULL,NULL,NULL,https://www.amazon.in/gp/product/0143067516/ref=x_gr_w_bb_glide_sin?ie=UTF8&tag=x_gr_w_bb_in-21&linkCode=as2&camp=3626&creative=24790,9780143067511,NULL,NULL
ଏକ ହରିଜନର ମୃତ୍ୟୁ,Death of a Harijan,9,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cocoon,NULL,1,173,1997,NULL,NULL,https://www.amazon.com/Cocoon-Bhalchandra-Nemade/dp/817991819X#customerReviews,9788179918197,NULL,NULL
कोसला ,Kosala,3,174,1992,NULL,NULL,https://www.amazon.com/Kosla-HINDI-Bhalchandra-Nemade/dp/B003FD0EZ0,NULL,B003FD0EZ0,NULL
NULL,Need,5,175,2001,NULL,NULL,https://www.amazon.com/Need-BENGALI-Bhalchandra-Nemade/dp/B003FCYHPY/ref=sr_1_7?dchild=1&qid=1618469857&refinements=p_27%3ABhalchandra+Nemade&s=books&sr=1-7&text=Bhalchandra+Nemade,NULL,B003FCYHPY,NULL
NULL,Kosheto,2,176,1995,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Kosala,7,177,1995,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Palur Vaah,10,178,1996,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Kosala,8,179,1996,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Kosala,11,180,2002,NULL,NULL,NULL,NULL,NULL,NULL
NULL,Koshapok,9,181,2005,NULL,NULL,NULL,NULL,NULL,NULL
మరల సేద్యానికి,,12,182,2015,NULL,NULL,NULL,9788128010798,NULL,NULL
Return to Earth,NULL,1,183,2002,NULL,NULL,https://www.amazon.in/gp/product/8126010657/ref=x_gr_w_bb_sin?ie=UTF8&tag=x_gr_w_bb_in-21&linkCode=as2&camp=3626&creative=24790,9788126010653,NULL,NULL
ওপজা  মাটির  হাত  বাউলি ,Opaja Matir Hat Bauli,10,184,2006,NULL,NULL,https://www.indiaclub.com/Opaja-Matir-Hat-Bauli--ASSAMESE_p_409563.html,NULL,B005F5M6I4,NULL
People,NULL,1,185,2005,NULL,NULL,https://www.amazon.in/gp/product/8185569673/ref=x_gr_w_bb_sin?ie=UTF8&tag=x_gr_w_bb_in-21&linkCode=as2&camp=3626&creative=24790,9788185569673,NULL,NULL
થાનક  યૌ  મિસ્ટર  ગ્લેડ ,Thank you Mr. Glad,2,186,NULL,NULL,NULL,NULL,NULL,NULL,NULL